vector_size,window,C,val_accuracy
50,3,0.1,0.8613333333333333
50,3,1.0,0.8595416666666666
50,3,10.0,0.8598333333333333
50,5,0.1,0.8639166666666667
50,5,1.0,0.864125
50,5,10.0,0.8657916666666666
50,7,0.1,0.8667916666666666
50,7,1.0,0.8664166666666666
50,7,10.0,0.8685833333333334
100,3,0.1,0.87075
100,3,1.0,0.870375
100,3,10.0,0.8684583333333333
100,5,0.1,0.8729166666666667
100,5,1.0,0.8720833333333333
100,5,10.0,0.8732083333333334
100,7,0.1,0.874375
100,7,1.0,0.8740416666666667
100,7,10.0,0.873125
200,3,0.1,0.8719166666666667
200,3,1.0,0.875375
200,3,10.0,0.8769583333333333
200,5,0.1,0.8769166666666667
200,5,1.0,0.87775
200,5,10.0,0.8804166666666666
200,7,0.1,0.877375
200,7,1.0,0.88025
200,7,10.0,0.882375
