Embedding,Class,Precision,Recall,F1-Score
TF-IDF,World,0.9147788565264293,0.8926315789473684,0.903569525839105
TF-IDF,Sports,0.9426816786079836,0.9694736842105263,0.9558899844317592
TF-IDF,Business,0.8686170212765958,0.8594736842105263,0.864021164021164
TF-IDF,Sci/Tech,0.8687238493723849,0.8742105263157894,0.8714585519412382
Word2Vec Skip-gram,World,0.9108485499462943,0.8926315789473684,0.9016480595427964
Word2Vec Skip-gram,Sports,0.9476654694715239,0.9721052631578947,0.9597297999480384
Word2Vec Skip-gram,Business,0.8584353379457158,0.8489473684210527,0.8536649907382906
Word2Vec Skip-gram,Sci/Tech,0.8596858638743455,0.8642105263157894,0.8619422572178478
Word2Vec CBOW,World,0.881544156530936,0.8773684210526316,0.8794513321023477
Word2Vec CBOW,Sports,0.920877998979071,0.9494736842105264,0.9349572428090179
Word2Vec CBOW,Business,0.8401727861771058,0.8189473684210526,0.8294243070362474
Word2Vec CBOW,Sci/Tech,0.8324552160168599,0.8315789473684211,0.832016850974197
GloVe,World,0.8882415254237288,0.8826315789473684,0.885427666314678
GloVe,Sports,0.9512195121951219,0.9647368421052631,0.9579304938594199
GloVe,Business,0.8347324239244491,0.8373684210526315,0.8360483447188649
GloVe,Sci/Tech,0.8573709419904204,0.8478947368421053,0.8526065096586398
