vector_size,window,C,val_accuracy
50,3,0.1,0.881125
50,3,1.0,0.8804166666666666
50,3,10.0,0.881375
50,5,0.1,0.8878333333333334
50,5,1.0,0.8870833333333333
50,5,10.0,0.8875
50,7,0.1,0.889375
50,7,1.0,0.8904583333333334
50,7,10.0,0.890625
100,3,0.1,0.8877083333333333
100,3,1.0,0.887625
100,3,10.0,0.887625
100,5,0.1,0.89325
100,5,1.0,0.8939583333333333
100,5,10.0,0.8914583333333334
100,7,0.1,0.8963333333333333
100,7,1.0,0.8960416666666666
100,7,10.0,0.896
200,3,0.1,0.8917083333333333
200,3,1.0,0.892375
200,3,10.0,0.8925416666666667
200,5,0.1,0.8967083333333333
200,5,1.0,0.8975833333333333
200,5,10.0,0.8976666666666666
200,7,0.1,0.899
200,7,1.0,0.9006666666666666
200,7,10.0,0.899875
