max_features,C,ngram_range,val_accuracy
2000,0.1,"(1, 1)",0.8865
2000,0.1,"(1, 2)",0.8805833333333334
2000,1.0,"(1, 1)",0.8925
2000,1.0,"(1, 2)",0.889125
2000,10.0,"(1, 1)",0.8899166666666667
2000,10.0,"(1, 2)",0.8836666666666667
3000,0.1,"(1, 1)",0.893375
3000,0.1,"(1, 2)",0.88725
3000,1.0,"(1, 1)",0.901375
3000,1.0,"(1, 2)",0.89775
3000,10.0,"(1, 1)",0.8969166666666667
3000,10.0,"(1, 2)",0.8924166666666666
5000,0.1,"(1, 1)",0.8994166666666666
5000,0.1,"(1, 2)",0.8945
5000,1.0,"(1, 1)",0.91025
5000,1.0,"(1, 2)",0.905875
5000,10.0,"(1, 1)",0.902875
5000,10.0,"(1, 2)",0.89875
